timestamp,config_file,dataset,split,backbone,temp_set,matching,set_aggregation,tau,relation_level,use_intra_relation,use_inter_relation,inter_style,way,shot,query_per_class,iteration,mean_accuracy,confidence_interval
2026-09-13 17:50:22,/home/ccwu/Documents/work/trx/configs/frozen_rn18_b1.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,none,False,False,,True,remove,1,5,1,5,75000,46.534,0.4184
2026-09-13 18:53:23,/home/ccwu/Documents/work/trx/configs/frozen_rn18_b1.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,none,False,False,,True,remove,1,5,1,5,100000,45.852,0.4134
2026-09-13 19:56:48,/home/ccwu/Documents/work/trx/configs/frozen_rn18_b2.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,False,,True,remove,1,5,1,5,25000,46.69,0.4204
2026-09-13 21:00:09,/home/ccwu/Documents/work/trx/configs/frozen_rn18_b2.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,False,,True,remove,1,5,1,5,50000,46.782,0.4217
2026-09-13 22:03:34,/home/ccwu/Documents/work/trx/configs/frozen_rn18_b2.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,False,,True,remove,1,5,1,5,75000,45.66,0.4217
2026-09-13 23:06:54,/home/ccwu/Documents/work/trx/configs/frozen_rn18_b2.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,False,,True,remove,1,5,1,5,100000,44.932,0.4188
2026-09-14 08:20:21,configs/frozen_rn18_b4.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,True,true_hyrsm,True,remove,1,5,1,5,25000,45.51,0.4199
2026-09-14 09:53:27,configs/frozen_rn18_b4.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,True,true_hyrsm,True,remove,1,5,1,5,50000,45.96,0.4215
2026-09-14 11:25:58,configs/frozen_rn18_b4.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,True,true_hyrsm,True,remove,1,5,1,5,75000,45.866,0.4183
2026-09-14 12:59:40,configs/frozen_rn18_b4.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,True,true_hyrsm,True,remove,1,5,1,5,100000,44.882,0.4151
