Options: Namespace(config='/home/ccwu/Documents/work/trx/configs/m1_uni_pool_1shot.yaml', dataset='hmdb', learning_rate=0.001, tasks_per_batch=16, checkpoint_dir='/home/ccwu/trx_data/checkpoints/m1_uni_pool_1shot_hmdb3/hmdb_split3_20260907_193816', test_model_path=None, training_iterations=100020, resume_from_checkpoint=False, way=5, shot=1, query_per_class=5, query_per_class_test=1, test_iters=[25000, 50000, 75000, 100000], num_test_tasks=10000, print_freq=1000, seq_len=8, num_workers=10, method='resnet18', trans_linear_out_dim=1152, trans_linear_in_dim=512, opt='sgd', trans_dropout=0.1, save_freq=5000, img_size=224, temp_set=[2], scratch='/home/ccwu/Documents/work/trx/trx_data', num_gpus=1, debug_loader=False, split=3, sch=[1000000], seed=42, grad_ckpt=False, decouple_gate=True, decouple_mode='remove', intra_depth=1, matching='unidirectional', set_aggregation='pool', tau=0.1, num_samples=1, use_intra_relation=False, use_inter_relation=False, relation_level='none', config_file='/home/ccwu/Documents/work/trx/configs/m1_uni_pool_1shot.yaml', traintestlist='/home/ccwu/Documents/work/trx/trx_data/video_datasets/splits/hmdb_ARN', path='/home/ccwu/Documents/work/trx/trx_data/video_datasets/data/hmdb51_256q5.zip')

Checkpoint Directory: /home/ccwu/trx_data/checkpoints/m1_uni_pool_1shot_hmdb3/hmdb_split3_20260907_193816

Task [67000/100020], Train Loss: 0.0531819, Train Accuracy: 0.9876801
Task [68000/100020], Train Loss: 0.0580083, Train Accuracy: 0.9860801
Task [69000/100020], Train Loss: 0.0584041, Train Accuracy: 0.9865600
Task [70000/100020], Train Loss: 0.0559161, Train Accuracy: 0.9874000
Task [71000/100020], Train Loss: 0.0528702, Train Accuracy: 0.9877601
Task [72000/100020], Train Loss: 0.0606445, Train Accuracy: 0.9859201
Task [73000/100020], Train Loss: 0.0525117, Train Accuracy: 0.9874000
Task [74000/100020], Train Loss: 0.0490186, Train Accuracy: 0.9887601
Task [75000/100020], Train Loss: 0.0489427, Train Accuracy: 0.9888000

Test Accuracies:
hmdb: 48.2+/-0.4

Task [76000/100020], Train Loss: 0.0515248, Train Accuracy: 0.9882001
Task [77000/100020], Train Loss: 0.0448924, Train Accuracy: 0.9898800
Task [78000/100020], Train Loss: 0.0453146, Train Accuracy: 0.9892799
Task [79000/100020], Train Loss: 0.0489205, Train Accuracy: 0.9881201
Task [80000/100020], Train Loss: 0.0387128, Train Accuracy: 0.9904800
Task [81000/100020], Train Loss: 0.0416509, Train Accuracy: 0.9899600
Task [82000/100020], Train Loss: 0.0434648, Train Accuracy: 0.9892401
Task [83000/100020], Train Loss: 0.0466904, Train Accuracy: 0.9892801
Task [84000/100020], Train Loss: 0.0425026, Train Accuracy: 0.9907200
Task [85000/100020], Train Loss: 0.0396562, Train Accuracy: 0.9904400
Task [86000/100020], Train Loss: 0.0452275, Train Accuracy: 0.9888800
Task [87000/100020], Train Loss: 0.0344747, Train Accuracy: 0.9920400
Task [88000/100020], Train Loss: 0.0336270, Train Accuracy: 0.9920400
Task [89000/100020], Train Loss: 0.0333004, Train Accuracy: 0.9921200
Task [90000/100020], Train Loss: 0.0398573, Train Accuracy: 0.9906399
Task [91000/100020], Train Loss: 0.0441064, Train Accuracy: 0.9900000
Task [92000/100020], Train Loss: 0.0327079, Train Accuracy: 0.9922401
Task [93000/100020], Train Loss: 0.0285110, Train Accuracy: 0.9931200
Task [94000/100020], Train Loss: 0.0395728, Train Accuracy: 0.9906800
Task [95000/100020], Train Loss: 0.0395074, Train Accuracy: 0.9904400
Task [96000/100020], Train Loss: 0.0302935, Train Accuracy: 0.9930800
Task [97000/100020], Train Loss: 0.0248381, Train Accuracy: 0.9945200
Task [98000/100020], Train Loss: 0.0303442, Train Accuracy: 0.9930000
Task [99000/100020], Train Loss: 0.0261296, Train Accuracy: 0.9940400
Task [100000/100020], Train Loss: 0.0317907, Train Accuracy: 0.9929200

Test Accuracies:
hmdb: 45.8+/-0.4

