iteration,loss
1,56.5613441467
2,29.3250789642
3,14.0066633224
4,41.7424392700
5,80.2889862061
6,99.3743896484
7,84.5750656128
8,79.7435760498
9,85.4845046997
10,78.0619201660
11,80.9932098389
12,52.3734741211
13,35.9398307800
14,50.7294387817
15,78.1716690063
16,28.2087135315
17,16.0435791016
18,23.9879608154
19,22.3214244843
20,22.6861133575
21,16.2843761444
22,25.5061759949
23,21.6267223358
24,39.0902633667
25,19.2173004150
26,25.4552974701
27,40.2715072632
28,26.9652004242
29,23.3834629059
30,11.4254570007
31,18.9898452759
32,27.0921745300
33,15.8835411072
34,13.9144868851
35,8.6026611328
36,7.7650699615
37,15.5039596558
38,18.6499862671
39,6.4911351204
40,13.3720779419
41,7.5252981186
42,16.7410964966
43,11.4570121765
44,14.0875015259
45,5.6295623779
46,19.6833648682
47,13.1770362854
48,8.4460353851
49,10.2190885544
50,10.7541770935
51,12.3450660706
52,10.1936445236
53,10.6962394714
54,8.1658744812
55,5.3349351883
56,11.2124385834
57,13.1295442581
58,7.1999440193
59,12.1215019226
60,8.7908124924
61,4.3113393784
62,9.2137374878
63,9.2106866837
64,7.2111039162
65,6.0469999313
66,7.4363465309
67,7.2392153740
68,5.9283657074
69,9.0768241882
70,7.7257890701
71,4.9152822495
72,7.8360290527
73,3.9458546638
74,4.1670355797
75,6.9322628975
76,6.5169878006
77,8.2291173935
78,6.8796682358
79,8.2361278534
80,3.7658729553
81,2.8402266502
82,2.2902984619
83,5.8704056740
84,5.5987367630
85,4.6817803383
86,3.6480920315
87,6.1586408615
88,3.1246366501
89,4.4655113220
90,5.0222997665
91,6.6211895943
92,4.9525580406
93,7.7668480873
94,4.3319454193
95,3.6987662315
96,2.6904807091
97,5.4960770607
98,4.0457544327
99,6.8883852959
100,2.7282416821
101,4.5105395317
102,4.3961405754
103,4.1403899193
104,3.6864597797
105,4.0273375511
106,4.9578566551
107,5.4939017296
108,4.5161523819
109,5.5079441071
110,4.7197222710
111,4.0835065842
112,3.0928463936
113,3.7648344040
114,3.3621373177
115,3.4005634785
116,2.3326196671
117,4.3158884048
118,3.3782057762
119,5.5465784073
120,5.5173730850
121,3.9815819263
122,3.9612329006
123,3.8768022060
124,4.3479404449
125,4.7026515007
126,4.4483842850
127,3.0053482056
128,4.2087106705
129,2.7399680614
130,3.6957418919
131,3.5640354156
132,2.5625000000
133,2.9874405861
134,3.7441172600
135,6.1250514984
136,3.4985935688
137,4.0373902321
