label,method,grad_ckpt,ckpt_segments,frozen,alloc_gb,reserved_gb,ms_iter,hrs_100k,grad_ok
A: RN18  Ω={2}  no-ckpt,resnet18,False,8,False,5.113,8.469,163.6,4.54,✓
B: RN50  Ω={2}  no-ckpt,resnet50,False,8,False,OOM,OOM,N/A,N/A,N/A
C: RN50  Ω={2}  +ckpt (c4),resnet50,True,4,False,10.238,10.955,605.8,16.83,✓
"D: RN50  Ω={2,3}+ckpt (c4)",resnet50,True,4,False,10.293,11.154,614.7,17.08,✓
E: RN50  Ω={2}  +ckpt (flat8),resnet50,True,8,False,7.728,10.654,602.7,16.74,✓
F: RN18  Ω={2}  frozen,resnet18,False,8,True,1.635,4.105,49.9,1.39,✓
G: RN50  Ω={2}  frozen,resnet50,False,8,True,2.593,3.164,150.4,4.18,✓
