iteration,loss
1,56.5613441467
2,29.3250789642
3,14.0066633224
4,41.7424392700
5,80.2889862061
6,99.3743896484
7,84.5750656128
8,79.7435760498
9,85.4845046997
10,78.0619201660
11,80.9932098389
12,52.3734741211
13,35.9398307800
14,50.7294387817
15,78.1716690063
16,28.2096080780
17,16.0450553894
18,23.9874038696
19,22.3201580048
20,22.6857604980
21,16.2843818665
22,25.5056324005
23,21.6273498535
24,39.0914077759
25,19.2175292969
26,25.4556789398
27,40.2694702148
28,26.9641380310
29,23.3835086823
30,11.4242868423
31,18.9895343781
32,27.1218910217
33,15.9652948380
34,13.9599037170
35,8.6200637817
36,7.7355365753
37,15.5277080536
38,18.6436920166
39,6.5051221848
40,13.3826122284
41,7.5349545479
42,16.7565803528
43,11.4514560699
44,14.0936641693
45,5.6119470596
46,19.7168483734
47,13.2061080933
48,8.4985923767
49,10.3210744858
50,10.9553480148
51,12.4791040421
52,10.2505617142
53,10.8084926605
54,8.3000192642
55,5.3698511124
56,11.1749973297
57,13.1404628754
58,7.2187452316
59,12.0914859772
60,8.8272781372
61,4.3776206970
62,9.2767801285
63,9.1959714890
64,7.3280210495
65,6.1857309341
66,7.6077213287
67,7.3340015411
68,6.1677494049
69,9.1085662842
70,7.6122245789
71,4.8616161346
72,7.8263301849
73,4.0926575661
74,4.1400270462
75,7.2611570358
76,6.7879457474
77,8.0854616165
78,6.9274711609
79,8.1941852570
80,3.8978242874
81,2.8650565147
82,2.2969985008
83,5.9444351196
84,5.5221204758
85,4.6473855972
86,3.4925734997
87,5.7618718147
88,3.0738024712
89,4.4218740463
90,5.0315837860
91,6.8639755249
92,5.1158556938
93,7.2385687828
94,4.4578170776
95,3.7480320930
96,2.3503012657
97,5.2145252228
98,4.4712152481
99,6.8695430756
100,2.6718540192
101,4.5754909515
102,4.2264585495
103,3.9648563862
104,3.6202373505
105,4.0934944153
106,4.6785049438
107,5.5041027069
108,4.9273023605
109,5.2358207703
110,4.7296981812
111,4.0086183548
112,3.0589430332
113,3.7317805290
114,3.1050839424
115,3.3605389595
116,2.2302093506
117,4.8253984451
118,3.7745265961
119,5.7508563995
120,5.5223174095
121,3.7803120613
122,3.8235049248
123,3.7591044903
124,4.1947360039
125,5.0357141495
126,4.7523946762
127,3.2768850327
128,4.0950236320
129,2.6667370796
130,3.7344079018
131,3.8588013649
132,2.6654107571
133,3.0359921455
134,3.6251254082
135,6.0644040108
136,3.3925638199
137,3.9607849121
