Options: Namespace(config='/home/ccwu/Documents/work/trx/configs/stage2_option_b.yaml', dataset='hmdb', learning_rate=0.001, tasks_per_batch=16, checkpoint_dir='/home/ccwu/Documents/work/trx/checkpoints/stage2_optB_hmdb3/hmdb_split3_20260412_182452', test_model_path=None, training_iterations=100020, resume_from_checkpoint=False, way=5, shot=1, query_per_class=5, query_per_class_test=1, test_iters=[25000, 50000, 75000, 100000], num_test_tasks=10000, print_freq=1000, seq_len=8, num_workers=10, method='resnet18', trans_linear_out_dim=1152, trans_linear_in_dim=512, opt='sgd', trans_dropout=0.1, save_freq=5000, img_size=224, temp_set=[2], scratch='/home/ccwu/Documents/work/trx/trx_data', num_gpus=1, debug_loader=False, split=3, sch=[1000000], matching_method='bidirectional_hausdorff', bidirectional=True, tau=0.1, num_samples=1, use_intra_relation=True, use_inter_relation=True, relation_level='tuple', config_file='/home/ccwu/Documents/work/trx/configs/stage2_option_b.yaml', traintestlist='/home/ccwu/Documents/work/trx/trx_data/video_datasets/splits/hmdb_ARN', path='/home/ccwu/Documents/work/trx/trx_data/video_datasets/data/hmdb51_256q5.zip')

Checkpoint Directory: /home/ccwu/Documents/work/trx/checkpoints/stage2_optB_hmdb3/hmdb_split3_20260412_182452

Task [69000/100020], Train Loss: 0.1302099, Train Accuracy: 0.9682001
Task [70000/100020], Train Loss: 0.1241190, Train Accuracy: 0.9688400
Task [71000/100020], Train Loss: 0.1247595, Train Accuracy: 0.9698001
Task [72000/100020], Train Loss: 0.1151304, Train Accuracy: 0.9718000
Task [73000/100020], Train Loss: 0.1175977, Train Accuracy: 0.9701599
Task [74000/100020], Train Loss: 0.1165977, Train Accuracy: 0.9719200
Task [75000/100020], Train Loss: 0.1214400, Train Accuracy: 0.9696400

Test Accuracies:
hmdb: 43.7+/-0.4

Task [76000/100020], Train Loss: 0.1010621, Train Accuracy: 0.9758800
Task [77000/100020], Train Loss: 0.1035996, Train Accuracy: 0.9738001
Task [78000/100020], Train Loss: 0.0925321, Train Accuracy: 0.9773999
Task [79000/100020], Train Loss: 0.1014907, Train Accuracy: 0.9763599
Task [80000/100020], Train Loss: 0.0982233, Train Accuracy: 0.9761600
Task [81000/100020], Train Loss: 0.0996028, Train Accuracy: 0.9756400
Task [82000/100020], Train Loss: 0.0980970, Train Accuracy: 0.9755601
Task [83000/100020], Train Loss: 0.0901532, Train Accuracy: 0.9780000
Task [84000/100020], Train Loss: 0.0804842, Train Accuracy: 0.9798800
Task [85000/100020], Train Loss: 0.0898123, Train Accuracy: 0.9774400
Task [86000/100020], Train Loss: 0.0831595, Train Accuracy: 0.9798400
Task [87000/100020], Train Loss: 0.0844082, Train Accuracy: 0.9794401
Task [88000/100020], Train Loss: 0.0788203, Train Accuracy: 0.9815600
Task [89000/100020], Train Loss: 0.0686189, Train Accuracy: 0.9843600
Task [90000/100020], Train Loss: 0.0758905, Train Accuracy: 0.9822001
Task [91000/100020], Train Loss: 0.0654009, Train Accuracy: 0.9848400
Task [92000/100020], Train Loss: 0.0651642, Train Accuracy: 0.9842399
Task [93000/100020], Train Loss: 0.0791304, Train Accuracy: 0.9810401
Task [94000/100020], Train Loss: 0.0679300, Train Accuracy: 0.9832799
Task [95000/100020], Train Loss: 0.0744460, Train Accuracy: 0.9818799
Task [96000/100020], Train Loss: 0.0689542, Train Accuracy: 0.9834000
Task [97000/100020], Train Loss: 0.0660252, Train Accuracy: 0.9844000
Task [98000/100020], Train Loss: 0.0674144, Train Accuracy: 0.9849600
Task [99000/100020], Train Loss: 0.0467889, Train Accuracy: 0.9889601
Task [100000/100020], Train Loss: 0.0616978, Train Accuracy: 0.9856800

Test Accuracies:
hmdb: 42.7+/-0.4

